Time	L_BF	L_VL	R_BF	R_VL
0.129500	-0.004461	-0.001101	-0.006801	-0.000001
0.130000	-0.005305	-0.002237	0.000747	-0.007022
0.130500	0.000152	0.004440	-0.004353	-0.004719
0.131000	-0.009650	-0.000973	-0.003364	-0.001995
0.131500	0.005014	-0.000940	0.008090	-0.000926
0.132000	-0.000610	0.007488	-0.003504	0.002555
0.132500	-0.001942	-0.006218	0.002685	0.002934
0.133000	-0.007277	0.002518	-0.003028	0.002504
0.133500	-0.002992	0.004353	-0.008055	0.000967
0.134000	-0.010636	0.000819	-0.003891	0.001503
0.134500	-0.004540	0.004737	0.004929	0.000118
0.135000	-0.005982	-0.002659	0.008662	-0.002822
0.135500	-0.005063	-0.001974	-0.005120	0.001823
0.136000	-0.000915	-0.008908	0.001854	-0.002324
0.136500	0.001907	-0.000852	0.004218	0.004205
0.137000	0.011931	-0.003785	-0.010837	-0.001281
0.137500	-0.001075	-0.006491	0.004424	-0.001018
0.138000	0.001681	0.002092	0.001570	-0.009463
0.138500	-0.005366	0.005810	0.002261	-0.007073
0.139000	0.002131	-0.008063	-0.001858	0.002650
0.139500	-0.002568	0.000075	-0.006840	-0.005942
0.140000	0.002449	-0.008536	0.006880	0.000722
0.140500	0.006288	0.003988	-0.006798	0.005659
0.141000	-0.003524	-0.004077	-0.000341	0.009655
0.141500	-0.000661	0.005871	-0.008748	0.002400
0.142000	-0.007857	-0.004940	0.009711	0.010257
0.142500	-0.003049	0.003177	-0.003194	0.002564
0.143000	0.006900	-0.001781	0.000234	-0.009406
0.143500	-0.000797	-0.001482	0.006749	0.000598
0.144000	-0.005744	0.005485	0.002615	-0.005481
0.144500	-0.002103	0.004715	0.002698	0.003146
0.145000	-0.006397	-0.004017	0.002071	-0.007394
0.145500	-0.001063	0.003534	-0.001796	0.003926
0.146000	0.006042	-0.009244	-0.001389	-0.004721
0.146500	0.005653	0.000548	-0.000915	0.001837
0.147000	-0.002899	-0.001613	-0.005572	0.003657
0.147500	-0.000569	-0.007599	0.006797	0.001829
0.148000	0.006015	0.000386	0.001381	-0.000760
0.148500	0.004817	-0.003156	-0.001369	0.007710
0.149000	0.001064	-0.006566	0.004058	-0.000192
0.149500	0.000713	-0.011924	0.000192	0.003268
0.150000	-0.000272	0.007052	0.001942	0.010557
0.150500	-0.002518	-0.000043	0.001874	-0.005459
0.151000	-0.004011	-0.004281	-0.000587	-0.000212
0.151500	-0.005226	0.002427	0.003509	-0.010228
0.152000	-0.004845	0.000468	0.001676	-0.013902
0.152500	-0.003705	0.000701	-0.005184	0.000267
0.153000	-0.006421	0.007597	0.004452	-0.003668
0.153500	0.011880	-0.004889	0.002012	-0.005633
0.154000	0.001999	-0.000428	0.004422	0.001831
0.154500	-0.006799	0.006264	-0.000491	0.000493
0.155000	0.000981	-0.000668	0.008660	-0.014865
0.155500	-0.003783	-0.002728	0.003203	-0.000359
0.156000	0.003615	0.002821	0.005895	-0.005018
0.156500	-0.005456	0.000594	-0.004895	0.017328
0.157000	-0.002337	0.001674	-0.001173	0.000915
0.157500	-0.010880	-0.001941	-0.005623	-0.001706
0.158000	-0.005299	-0.002111	-0.005629	0.000143
0.158500	0.004459	0.012254	0.005154	0.002486
0.159000	0.001171	-0.003126	-0.002501	-0.003587
0.159500	-0.004789	0.002855	-0.009883	0.001679
0.160000	0.009310	0.002159	-0.000598	0.000852
0.160500	-0.016284	-0.002635	-0.000406	0.010603
0.161000	0.004358	-0.002588	-0.008731	0.003380
0.161500	0.002962	-0.000329	-0.001060	-0.003101
0.162000	0.000458	-0.001346	0.002784	-0.000712
0.162500	0.003737	-0.001184	0.001552	-0.000805
0.163000	-0.007030	0.000590	-0.004951	0.001075
0.163500	-0.002627	0.006161	0.000996	-0.002603
0.164000	0.002586	0.009374	0.003169	0.008017
0.164500	-0.002037	-0.003770	0.007313	0.000938
0.165000	-0.001422	0.001032	0.007123	0.001921
0.165500	0.004846	-0.000287	0.013043	-0.007892
0.166000	0.001108	-0.000650	0.006859	0.003118
0.166500	0.001429	0.002730	0.003320	0.005303
0.167000	0.007222	0.004503	-0.001680	0.004845
0.167500	0.002319	-0.000424	-0.004136	0.010965
0.168000	-0.002356	-0.004388	-0.005912	0.002287
0.168500	-0.005699	0.009891	0.002600	-0.000426
0.169000	-0.008355	0.004969	0.003132	0.003627
0.169500	-0.002967	-0.000465	-0.001210	-0.006175
0.170000	-0.000698	0.003276	-0.011434	-0.002022
0.170500	-0.000199	-0.003374	0.001820	0.010546
0.171000	0.003268	0.007829	0.003939	0.006287
0.171500	-0.000675	0.003077	-0.003462	0.008712
0.172000	-0.001069	-0.002966	0.005901	-0.004135
0.172500	0.010787	0.001038	-0.007848	0.006155
0.173000	0.001425	0.001036	-0.004503	0.001603
0.173500	-0.008511	0.002314	-0.004368	-0.008113
0.174000	-0.003812	0.000039	0.000759	-0.002173
0.174500	0.003709	-0.005192	-0.005822	-0.005259
0.175000	-0.004343	-0.002561	-0.005423	-0.009152
0.175500	-0.002574	-0.007040	-0.000511	0.004477
0.176000	-0.007346	-0.008096	0.000551	-0.004975
0.176500	-0.006892	0.000524	0.000875	0.004075
0.177000	-0.003587	0.009468	-0.000146	-0.000036
0.177500	0.000215	0.000334	-0.001090	-0.004189
0.178000	-0.008463	-0.005771	0.007466	-0.004501
0.178500	-0.003678	0.002794	-0.000591	0.001351
0.179000	0.005179	0.004748	0.001333	-0.006376
0.179500	0.006344	0.003140	-0.004488	-0.003192
0.180000	-0.001553	-0.002872	-0.000915	-0.007152
0.180500	0.002337	0.009630	0.001470	-0.002825
0.181000	-0.003616	-0.002495	-0.003150	-0.000195
0.181500	0.006816	0.002794	0.003575	-0.002186
0.182000	0.006005	0.003655	-0.002262	-0.009301
0.182500	0.001727	-0.000854	0.001863	-0.005032
0.183000	0.003862	0.005404	0.002234	-0.002354
0.183500	-0.014005	0.000469	0.002536	-0.004205
0.184000	-0.000268	0.005217	-0.001361	0.014173
0.184500	-0.000594	-0.005665	-0.010914	0.005502
0.185000	-0.003527	0.002498	-0.005537	0.012142
0.185500	-0.001139	0.003758	0.001754	0.000392
0.186000	-0.003425	-0.002446	-0.000219	0.000654
0.186500	-0.000684	0.005233	-0.007038	-0.001456
0.187000	-0.002563	-0.009486	0.000175	-0.003235
0.187500	-0.013408	0.004289	-0.007736	0.002867
0.188000	-0.004629	0.000483	-0.005288	-0.004042
0.188500	-0.002196	0.003994	-0.002158	0.009089
0.189000	-0.001349	-0.008826	-0.003584	-0.002834
0.189500	0.002288	0.005136	0.003419	-0.005663
0.190000	0.000640	0.007529	0.005858	-0.002162
0.190500	0.001710	-0.001247	-0.002690	-0.006559
0.191000	-0.009994	-0.008201	0.007976	0.002109
0.191500	0.001488	-0.002344	0.006546	0.001090
0.192000	0.007757	0.002912	-0.007276	-0.004556
0.192500	-0.005794	0.002143	-0.003523	-0.001132
0.193000	0.005292	-0.001673	-0.000117	0.005309
0.193500	-0.004428	-0.003527	0.004046	0.000267
0.194000	-0.000337	-0.001064	0.009105	0.005268
0.194500	-0.009552	-0.000504	0.002943	-0.006075
0.195000	-0.004331	0.003355	0.000456	-0.005319
0.195500	-0.006017	0.005654	-0.002849	0.010174
0.196000	0.000334	-0.004796	-0.004824	-0.000213
0.196500	0.000971	0.008511	0.005110	0.005236
0.197000	0.003254	0.001760	-0.003284	0.001921
0.197500	-0.010908	-0.003453	-0.002459	-0.003065
0.198000	-0.002564	-0.011813	0.003991	-0.004179
0.198500	0.002164	0.003074	-0.001025	0.003000
0.199000	-0.004539	-0.004433	0.000943	-0.002712
0.199500	-0.002087	0.006670	-0.005435	0.010635
0.200000	0.008776	-0.005737	0.004808	-0.000773
0.200500	0.001722	0.004655	-0.011695	-0.002760
0.201000	-0.002185	-0.000200	-0.008487	0.002995
0.201500	-0.006356	0.001240	0.001376	-0.006583
0.202000	-0.007148	-0.008139	0.005927	-0.003172
0.202500	-0.005014	0.004183	0.001514	-0.000676
0.203000	0.009309	0.001011	0.005012	0.009323
0.203500	-0.000149	-0.003092	0.014252	-0.007289
0.204000	-0.001791	-0.004150	0.004676	-0.000949
0.204500	0.002823	-0.005558	-0.002362	0.006220
0.205000	-0.006940	-0.008521	0.003488	0.002944
0.205500	0.007059	-0.003017	0.003065	0.007260
0.206000	0.002148	-0.001734	-0.003071	-0.000284
0.206500	0.000422	0.001468	-0.006171	0.005945
0.207000	-0.003680	-0.002106	0.002215	-0.000455
0.207500	-0.008990	-0.004870	0.000472	-0.002417
0.208000	0.007103	-0.001302	0.009287	-0.000119
0.208500	-0.004531	0.003173	0.001541	-0.010393
0.209000	0.000935	-0.001985	-0.001994	-0.005801
0.209500	-0.000004	-0.000334	-0.003559	0.001104
0.210000	-0.004969	0.001209	0.003682	0.003804
0.210500	-0.003070	-0.004424	0.001730	-0.003911
0.211000	0.001079	0.004100	-0.007000	-0.000417
0.211500	0.000816	0.000420	-0.006087	-0.000308
0.212000	0.008832	-0.006375	-0.001497	0.000301
0.212500	0.006294	-0.001773	-0.005339	-0.006625
0.213000	0.003582	-0.005718	-0.002366	0.002639
0.213500	0.000540	0.000760	0.000782	0.003326
0.214000	0.006430	-0.005014	-0.006327	-0.006671
0.214500	0.006495	-0.001093	-0.000875	0.007526
0.215000	-0.006213	0.002292	-0.004580	0.000851
0.215500	-0.001889	0.003044	-0.006914	0.000683
0.216000	0.002270	0.003048	0.004545	0.006361
0.216500	0.000082	-0.006866	-0.001590	0.006821
0.217000	0.006205	-0.000835	-0.003266	0.001545
0.217500	-0.005861	-0.001282	0.000458	0.008119
0.218000	0.003100	0.001218	-0.000449	-0.003428
0.218500	-0.009142	-0.007217	-0.005275	0.003189
0.219000	-0.001666	0.002798	0.003099	-0.005597
0.219500	-0.003328	-0.001846	-0.002634	0.004573
0.220000	0.003775	0.004282	0.008334	-0.000205
0.220500	-0.001757	-0.000874	-0.005051	-0.002083
0.221000	-0.001733	-0.001664	0.006299	0.006328
0.221500	0.003960	0.003776	-0.008292	-0.000126
0.222000	0.003515	0.000519	0.004424	-0.002655
0.222500	0.001184	0.007160	0.001730	-0.002306
0.223000	-0.004535	-0.004070	-0.002075	-0.000172
0.223500	0.003198	-0.001088	-0.007412	0.003483
0.224000	0.004711	-0.003362	0.002523	-0.000234
0.224500	-0.003681	-0.002530	-0.001162	-0.000161
0.225000	0.003749	0.000574	0.002900	0.001090
0.225500	-0.005226	-0.001248	0.002092	-0.002475
0.226000	-0.001070	0.006962	0.000490	0.003749
0.226500	0.008946	0.002483	-0.004614	-0.001075
0.227000	-0.001564	-0.005468	-0.006794	-0.009276
0.227500	-0.004612	0.002743	-0.003812	-0.002186
0.228000	-0.000148	0.009247	-0.007165	-0.003650
0.228500	0.002472	0.006949	0.009051	0.004798
0.229000	0.010073	0.000330	0.003764	-0.003739
0.229500	0.007479	0.001549	-0.010546	0.005564
0.230000	0.001285	0.006645	0.000984	-0.000391
0.230500	-0.005770	0.003267	-0.010499	0.011334
0.231000	-0.003752	0.000196	-0.006153	-0.003641
0.231500	0.002496	0.005073	-0.008694	0.001032
0.232000	-0.004330	-0.010766	-0.000092	-0.000052
0.232500	-0.007511	0.006404	0.003963	-0.001108
0.233000	-0.004130	-0.006081	-0.014713	0.001326
0.233500	0.000166	0.004580	0.008057	-0.002637
0.234000	0.001205	-0.002128	-0.000130	-0.002434
0.234500	0.006126	-0.000868	-0.000627	-0.005449
0.235000	-0.003825	-0.002931	-0.006630	0.000118
0.235500	0.002682	-0.011634	-0.000165	-0.002572
0.236000	-0.003526	0.003221	-0.001338	0.007897
0.236500	0.002384	-0.000468	-0.000954	-0.004072
0.237000	-0.000507	0.002482	-0.000165	0.000152
0.237500	-0.000042	-0.003023	-0.001499	-0.001908
0.238000	-0.002824	0.009287	0.000710	0.008610
0.238500	-0.002029	0.004221	-0.011213	0.001363
0.239000	0.000801	0.004145	0.004861	0.005009
0.239500	-0.002614	-0.006550	0.005476	0.006246
0.240000	-0.012144	0.000521	-0.003412	0.006684
0.240500	-0.000347	-0.006408	-0.003573	0.000610
0.241000	0.010643	-0.000146	0.000547	0.000792
0.241500	-0.011655	-0.004592	-0.001652	0.006968
0.242000	-0.001844	0.004736	-0.002159	-0.003507
0.242500	-0.000099	-0.001823	0.004432	0.002485
0.243000	0.006649	0.001660	0.000033	0.003225
0.243500	0.004200	-0.008905	-0.004911	0.003448
0.244000	-0.003766	-0.007733	-0.000028	-0.002411
0.244500	-0.000999	0.000826	0.008168	-0.004894
0.245000	-0.000641	-0.000995	0.004420	-0.004395
0.245500	0.003430	0.000669	-0.008834	0.012975
0.246000	0.003305	-0.002326	-0.003177	0.003300
0.246500	-0.000225	0.001161	-0.009551	-0.003955
0.247000	-0.003457	-0.005153	0.013979	0.005708
0.247500	0.001134	0.004884	-0.007932	0.004878
0.248000	-0.006606	-0.001129	0.000382	0.001343
0.248500	0.002505	-0.002372	-0.003790	0.006542
0.249000	0.001404	0.006720	0.001700	0.004125
0.249500	-0.004637	0.000663	0.000788	0.001250
0.250000	0.003271	-0.001732	-0.001337	-0.005309
0.250500	0.003244	-0.001182	-0.001577	-0.007733
0.251000	0.005250	-0.008631	0.001705	-0.007623
0.251500	-0.005779	-0.006899	0.001055	0.000633
0.252000	0.003928	0.007186	-0.002239	0.005536
0.252500	0.003313	-0.000401	-0.007748	-0.001742
0.253000	0.000423	-0.005114	-0.003827	-0.002547
0.253500	0.000304	0.004215	0.001278	0.004884
0.254000	0.001428	-0.001008	-0.007089	0.002997
0.254500	-0.000342	0.001246	-0.005160	-0.002287
0.255000	0.002387	-0.004868	-0.004032	-0.005261
0.255500	0.007922	0.007950	0.004307	-0.004757
0.256000	0.006233	0.003036	-0.001552	0.008186
0.256500	0.004100	0.000456	0.004137	0.003231
0.257000	-0.004570	0.008829	0.001419	0.006492
