Time	RASISX	RASISY	RASISZ	LASISX	LASISY	LASISZ
0.215	637.594	655.618	611.171	570.366	545.647	609.065
0.220	638.061	655.659	612.626	570.784	545.082	608.023
0.225	637.197	655.989	612.745	569.965	545.331	608.550
0.230	637.456	654.434	612.394	569.101	545.687	607.413
0.235	637.740	655.491	612.833	569.065	544.677	608.403
0.240	638.687	655.387	612.555	569.876	545.380	608.447
0.245	637.611	655.705	611.375	569.711	546.005	608.812
0.250	638.050	655.637	611.955	569.302	545.674	608.359
0.255	638.147	655.788	612.126	569.759	546.092	608.717
0.260	638.341	655.530	613.009	569.414	547.186	608.666
0.265	638.299	655.388	611.794	569.492	546.377	607.859
0.270	638.704	656.042	612.788	569.022	545.772	608.004
0.275	638.220	655.900	611.987	569.306	545.650	608.477
0.280	638.979	654.692	612.853	568.988	546.781	608.346
0.285	638.431	654.622	613.045	569.406	545.433	608.362
0.290	638.753	655.336	612.488	569.665	545.833	609.272
0.295	638.614	655.475	612.143	569.082	546.223	609.202
0.300	638.999	655.040	613.016	569.891	544.967	609.664
0.305	638.885	654.978	612.428	568.553	545.452	608.649
0.310	637.793	654.561	612.532	568.635	546.258	608.396
0.315	638.849	655.602	611.732	569.354	545.664	609.914
0.320	638.749	655.190	613.270	568.615	546.516	608.572
0.325	639.145	654.301	612.963	569.248	545.591	608.947
0.330	638.814	654.290	613.857	569.210	545.707	609.056
0.335	638.797	654.286	612.387	569.063	545.560	607.936
0.340	638.704	654.839	614.052	568.907	545.912	609.475
0.345	638.042	654.942	613.050	568.345	547.029	608.434
0.350	638.635	654.639	613.686	569.147	546.798	608.553
0.355	639.622	654.503	614.128	569.163	546.907	608.219
0.360	638.640	654.551	612.955	568.301	545.732	608.690
0.365	639.257	654.375	613.617	569.768	547.081	608.992
0.370	638.633	654.148	614.382	569.324	546.437	608.444
0.375	638.995	654.345	614.282	569.644	546.666	608.539
0.380	639.540	654.339	614.045	569.072	546.403	609.311
0.385	638.818	654.908	614.503	569.399	546.512	608.935
0.390	640.302	653.818	615.346	568.802	546.322	609.200
0.395	639.727	653.089	614.820	569.087	546.809	608.859
0.400	639.033	654.541	614.045	569.095	546.969	608.447
0.405	639.362	654.754	614.603	568.957	547.549	608.732
0.410	638.747	654.850	613.781	568.467	547.098	608.917
0.415	638.383	653.136	614.093	568.407	547.156	608.984
0.420	638.898	654.196	616.046	568.906	547.431	608.549
0.425	638.866	654.301	614.423	568.898	547.038	608.808
0.430	639.300	653.307	614.676	568.210	547.215	608.757
0.435	639.397	654.743	615.530	568.332	547.332	609.030
0.440	638.317	653.617	615.534	569.426	547.603	609.431
0.445	638.792	653.374	615.289	568.260	546.932	610.054
0.450	638.950	654.270	615.111	567.689	547.585	609.077
0.455	639.799	654.064	615.611	568.481	547.771	608.229
0.460	639.601	654.518	615.943	568.928	548.008	609.712
0.465	639.600	653.727	615.478	568.178	547.343	609.108
0.470	639.264	653.620	615.455	567.955	547.750	608.958
0.475	639.246	654.012	616.275	567.723	548.548	609.360
0.480	639.302	654.295	616.260	568.898	547.504	609.336
0.485	639.787	654.207	615.514	568.099	548.309	609.121
0.490	639.811	653.934	615.417	567.291	548.194	609.299
0.495	639.611	653.593	616.081	568.696	548.317	608.563
0.500	639.406	653.767	617.084	567.326	548.527	608.253
0.505	639.057	653.861	616.493	567.997	547.702	609.162
0.510	639.829	653.737	616.237	568.634	548.923	608.723
0.515	638.465	654.061	616.051	568.632	548.163	608.333
0.520	638.716	654.006	615.335	567.829	547.470	608.715
0.525	637.888	654.388	617.081	567.514	546.809	609.132
0.530	638.795	653.809	616.178	567.560	547.412	609.029
0.535	638.611	654.697	616.790	568.013	547.381	608.460
0.540	639.980	653.433	616.593	567.805	547.658	608.510
0.545	638.973	654.321	618.083	567.140	548.271	608.668
0.550	638.904	653.469	617.395	567.431	548.344	608.831
0.555	639.283	653.587	616.486	567.461	548.445	609.235
0.560	639.656	653.839	616.478	567.718	548.773	608.772
0.565	638.677	654.105	616.611	568.235	548.274	607.662
0.570	640.011	654.511	617.201	567.372	548.284	608.220
0.575	638.846	653.927	616.529	565.921	548.095	609.295
0.580	638.292	654.210	616.874	566.407	548.822	609.070
0.585	639.831	654.443	616.999	567.309	548.320	608.244
0.590	638.830	654.267	618.040	566.499	549.295	608.573
0.595	639.608	653.627	618.224	568.093	548.649	607.979
0.600	639.987	654.220	617.412	567.120	548.278	607.647
0.605	639.179	653.438	616.767	567.699	550.200	608.360
0.610	640.128	653.722	617.821	567.103	548.938	608.914
0.615	640.082	653.709	617.632	567.893	549.411	608.693
0.620	639.255	654.540	617.743	566.028	548.849	608.733
0.625	639.639	653.947	617.755	566.369	550.063	608.352
0.630	639.297	654.656	617.189	566.840	548.440	609.020
0.635	639.171	655.183	617.739	566.739	549.155	609.021
0.640	640.252	654.651	618.163	565.559	548.863	608.741
0.645	640.556	654.177	617.671	566.746	549.409	608.661
0.650	639.681	654.291	617.868	566.596	549.986	609.113
0.655	640.446	654.685	617.893	566.087	550.415	608.669
0.660	640.102	653.879	618.814	566.539	549.225	609.363
0.665	640.183	654.559	619.689	566.670	549.339	608.629
0.670	639.264	654.552	619.055	566.692	549.366	608.527
0.675	639.885	654.193	618.986	566.937	550.797	608.976
0.680	639.681	654.631	618.608	565.643	549.344	608.025
0.685	639.160	653.455	619.973	565.785	549.570	609.220
0.690	640.446	654.566	618.321	566.070	549.156	608.746
0.695	640.983	654.632	618.723	566.071	549.836	608.693
0.700	640.954	654.284	618.823	565.997	549.409	607.690
0.705	640.372	654.241	619.241	566.447	549.734	608.753
0.710	639.860	654.632	619.937	566.256	550.558	608.354
0.715	640.119	654.370	618.827	566.012	549.968	609.112
0.720	639.100	654.155	619.592	565.580	551.110	608.488
0.725	640.755	653.892	620.019	565.717	549.747	607.931
0.730	640.313	654.283	619.870	565.464	549.782	608.484
0.735	640.617	653.888	619.530	565.413	550.236	607.912
0.740	640.777	654.130	620.769	565.326	550.524	608.562
0.745	641.190	654.263	619.663	566.174	550.163	607.513
0.750	640.950	654.986	619.169	565.240	550.319	608.128
0.755	640.453	654.423	619.818	564.401	551.765	608.903
0.760	640.194	654.578	619.139	565.977	551.990	608.074
0.765	641.288	654.392	620.461	565.414	550.176	608.616
0.770	641.039	654.165	620.094	565.461	550.377	608.856
0.775	641.649	653.559	621.154	566.848	551.269	608.317
0.780	640.386	654.295	619.057	564.943	551.446	609.166
0.785	640.537	653.575	620.729	564.975	550.654	609.012
0.790	641.538	654.031	620.583	565.758	551.575	608.754
0.795	640.979	653.415	620.552	565.642	550.165	607.792
0.800	641.200	654.623	621.890	565.123	552.225	608.771
0.805	641.298	654.306	621.852	564.716	551.576	608.289
0.810	641.659	653.811	621.025	565.508	552.260	608.396
0.815	641.622	654.051	620.477	564.528	550.842	608.747
0.820	641.866	654.109	621.419	564.726	551.375	607.945
0.825	641.929	654.853	621.772	565.079	551.912	608.664
0.830	641.447	653.523	620.539	564.167	551.929	608.682
0.835	642.099	654.326	621.417	564.807	552.263	608.844
0.840	640.988	653.470	621.391	564.344	551.678	608.492
0.845	642.449	654.095	621.663	564.419	551.645	608.083
0.850	641.752	654.029	621.370	564.313	552.808	607.634
0.855	641.950	654.457	621.970	563.819	551.552	608.875
0.860	643.133	654.372	622.950	564.450	551.581	608.904
0.865	642.780	655.204	622.433	563.273	552.424	607.610
0.870	642.591	654.632	621.849	563.959	551.234	608.610
0.875	643.371	654.891	621.392	565.302	551.289	608.735
0.880	643.808	654.873	622.157	564.387	552.162	609.244
0.885	642.481	655.070	621.840	564.631	552.170	606.466
0.890	643.366	654.680	622.057	565.034	552.092	607.499
0.895	643.469	655.571	622.567	564.828	552.750	607.951
0.900	642.603	655.063	622.816	564.796	551.884	607.767
0.905	643.608	656.232	623.184	564.204	551.608	608.320
0.910	643.678	654.984	621.868	563.900	551.567	607.011
0.915	643.751	656.209	622.882	564.490	551.262	607.690
0.920	644.781	654.349	622.594	564.589	552.373	607.339
0.925	643.361	655.129	622.659	565.512	552.978	607.208
0.930	644.543	655.342	622.706	563.009	552.990	607.430
0.935	644.155	655.242	622.590	565.019	553.104	606.576
0.940	643.631	656.074	623.011	563.740	552.904	607.920
0.945	643.251	655.470	622.629	564.513	551.786	606.984
0.950	644.180	654.953	623.092	564.502	551.704	606.875
0.955	644.063	656.465	622.555	563.919	552.518	607.580
0.960	644.974	655.673	622.879	564.802	553.127	607.025
0.965	644.122	656.180	623.500	564.805	553.284	607.037
0.970	643.459	655.796	623.046	563.643	554.076	606.298
0.975	643.175	655.417	623.116	564.101	553.439	606.585
0.980	643.947	655.437	622.533	564.494	553.996	607.254
0.985	644.560	655.976	623.756	565.000	553.670	607.312
0.990	643.863	655.126	623.534	565.254	553.422	606.770
0.995	644.155	656.618	623.608	563.929	553.136	606.930
1.000	645.205	656.030	623.539	563.478	554.027	606.131
1.005	644.113	656.070	623.991	564.662	553.934	606.429
1.010	643.633	655.060	623.593	564.403	554.526	606.147
1.015	644.523	656.853	623.509	564.785	552.905	605.865
1.020	644.154	656.621	624.183	564.666	554.441	606.696
1.025	643.731	655.866	623.893	564.423	555.165	605.968
1.030	644.397	656.635	623.149	564.834	553.231	606.566
1.035	645.171	655.407	623.576	564.283	554.700	606.512
1.040	644.139	656.798	624.090	565.619	554.361	606.050
1.045	644.329	657.891	623.420	564.508	555.104	606.259
1.050	644.738	656.180	623.187	563.857	554.289	605.910
1.055	644.160	656.957	623.568	564.232	554.311	605.619
1.060	644.435	655.816	624.100	564.883	554.650	606.156
1.065	644.984	657.190	623.658	565.434	554.679	605.429
1.070	645.114	656.598	624.820	565.420	554.871	606.232
1.075	645.742	656.714	623.561	564.498	553.922	606.257
1.080	645.159	656.522	623.492	565.058	553.941	605.688
1.085	644.798	656.640	623.704	565.570	553.704	606.340
1.090	644.979	655.994	623.831	564.646	554.648	605.533
1.095	645.416	656.673	624.041	565.693	554.323	606.306
1.100	644.866	656.935	624.067	564.938	554.325	606.169
1.105	645.842	656.345	624.463	564.837	554.253	605.904
1.110	644.773	657.105	624.033	564.374	553.982	606.876
1.115	645.926	657.282	623.697	564.438	553.745	605.463
1.120	645.890	657.504	623.518	564.646	554.853	606.057
1.125	646.243	656.997	624.095	564.364	555.341	605.064
1.130	645.254	657.568	624.548	565.064	555.061	606.025
1.135	645.672	657.019	624.320	565.344	555.485	606.077
1.140	645.755	657.225	623.466	563.832	555.102	604.731
1.145	646.118	657.457	623.777	564.803	555.029	604.919
1.150	645.179	657.075	623.885	563.602	554.777	605.067
1.155	646.325	657.644	624.345	564.173	555.345	604.290
1.160	646.553	657.138	623.964	564.265	555.962	605.015
1.165	646.630	657.605	623.192	565.135	555.183	605.424
1.170	646.193	657.394	624.413	564.305	555.456	605.339
1.175	645.811	657.605	624.518	565.428	555.752	605.187
1.180	647.185	658.263	624.720	564.908	555.479	604.892
1.185	646.555	657.426	623.661	564.474	554.561	604.990
1.190	647.030	657.597	624.709	564.982	555.656	605.271
1.195	646.314	658.722	625.536	565.153	555.535	605.131
1.200	647.551	659.178	623.861	565.065	555.335	604.917
1.205	646.892	658.503	624.124	563.739	556.090	605.390
1.210	647.781	658.551	624.443	563.395	555.939	605.310
1.215	647.629	658.560	624.738	565.071	556.084	606.284
1.220	646.927	658.802	624.616	564.065	556.586	605.655
1.225	647.529	659.189	624.687	563.744	555.876	604.233
1.230	648.515	657.321	624.758	564.676	556.563	605.225
1.235	647.860	657.970	624.782	563.931	556.262	605.341
1.240	647.659	658.853	624.552	563.774	556.905	604.570
1.245	647.988	658.875	624.445	564.259	555.960	604.259
1.250	647.227	659.020	623.315	564.831	556.738	604.798
1.255	647.310	657.988	624.497	564.710	557.001	604.936
1.260	648.344	658.995	623.764	564.949	556.924	604.908
1.265	647.699	658.361	624.963	564.607	556.618	604.659
1.270	648.131	659.135	625.016	565.154	557.075	604.946
1.275	648.412	658.953	623.997	564.293	556.402	605.214
1.280	648.007	658.664	625.006	564.333	556.663	605.022
1.285	649.419	659.329	624.690	564.243	556.545	604.302
1.290	648.312	659.217	623.779	564.433	556.492	603.472
1.295	647.360	659.504	624.374	564.976	555.842	604.293
1.300	648.647	658.434	624.244	564.542	555.973	603.785
1.305	648.270	658.720	624.298	564.729	556.879	603.578
1.310	649.253	657.652	624.342	564.398	556.506	604.104
1.315	648.412	658.950	623.926	564.098	556.926	603.602
1.320	648.431	659.262	625.030	564.542	557.402	603.601
1.325	648.729	659.670	624.274	564.789	557.104	603.090
1.330	648.506	659.010	624.332	564.528	556.636	604.619
1.335	649.123	658.921	625.710	564.571	557.130	604.033
1.340	649.065	659.281	624.516	565.094	557.238	604.004
1.345	648.302	658.912	623.980	565.012	556.642	603.766
1.350	648.984	658.606	625.232	565.995	556.533	603.169
1.355	648.284	659.363	624.942	565.019	557.997	604.244
1.360	649.340	660.230	625.060	565.343	556.341	602.956
1.365	649.516	660.025	624.665	565.235	557.267	602.411
1.370	650.257	659.047	624.694	565.435	557.549	603.423
1.375	648.833	659.596	624.975	564.286	556.753	603.659
1.380	650.532	659.790	624.698	564.419	556.863	602.668
1.385	649.488	658.931	624.364	565.294	557.333	602.802
1.390	649.887	659.565	625.265	565.166	556.283	602.069
1.395	649.398	659.964	625.487	566.143	557.070	602.491
1.400	649.548	659.944	625.493	564.655	557.332	603.239
1.405	650.373	659.079	625.824	565.422	556.252	603.211
1.410	650.106	660.338	625.254	565.057	558.470	603.111
1.415	650.755	659.209	625.071	565.182	557.324	602.907
1.420	650.075	660.156	625.446	565.243	557.679	602.334
1.425	649.677	659.391	625.904	565.807	557.195	602.249
1.430	650.961	659.773	626.002	564.740	557.250	602.491
1.435	649.867	659.679	625.719	564.758	558.399	602.656
1.440	650.352	660.230	624.915	565.466	557.135	601.759
1.445	650.864	659.823	624.973	564.639	557.026	602.702
1.450	650.246	661.152	625.720	565.791	557.999	602.178
1.455	651.276	660.339	626.009	565.044	557.684	602.905
1.460	651.445	659.397	625.329	566.432	557.475	601.492
1.465	651.312	661.095	624.977	566.477	557.904	602.769
1.470	650.874	661.047	624.874	565.251	558.231	602.075
1.475	650.406	660.802	625.134	565.890	557.860	602.390
1.480	650.922	661.672	624.971	567.100	557.697	602.323
1.485	651.443	661.259	625.516	565.953	558.582	601.522
1.490	649.484	661.474	625.147	566.128	558.642	601.847
1.495	651.068	660.523	624.896	566.723	559.420	602.380
1.500	650.211	660.679	625.423	566.215	558.631	602.075
1.505	651.180	660.445	625.096	566.649	559.423	602.329
1.510	651.346	661.115	625.966	566.347	558.701	602.368
1.515	651.589	661.670	625.408	565.372	558.959	602.153
1.520	652.220	660.796	625.152	566.101	558.303	601.759
1.525	652.045	660.753	626.285	567.209	559.275	602.383
1.530	652.098	660.839	626.499	566.381	558.668	601.966
1.535	650.991	661.595	626.175	566.199	559.082	601.839
1.540	650.479	660.015	625.296	566.366	558.755	601.564
1.545	651.201	661.651	625.988	566.318	558.627	602.609
1.550	652.359	660.988	625.361	565.838	560.329	602.964
1.555	652.393	660.467	625.437	566.472	559.705	601.078
1.560	652.790	660.303	625.867	565.672	560.434	602.259
1.565	651.209	660.937	625.288	566.039	559.421	602.083
1.570	650.833	661.253	625.931	565.575	559.015	601.249
1.575	652.319	661.083	625.230	566.689	558.850	600.556
1.580	651.745	661.281	625.873	565.398	559.223	601.477
1.585	651.686	660.695	625.813	566.489	558.571	601.572
1.590	650.914	661.544	625.523	565.549	560.170	601.104
1.595	651.993	661.393	625.364	566.919	559.137	601.947
1.600	650.581	662.431	625.576	565.793	559.091	601.169
1.605	650.938	662.241	624.658	566.022	559.398	600.514
1.610	650.838	661.679	625.981	566.434	559.954	600.927
1.615	651.140	662.405	625.861	566.481	559.786	601.072
1.620	650.919	662.111	626.061	566.821	559.603	601.302
1.625	651.731	662.687	624.920	566.816	560.349	600.610
1.630	651.248	661.486	625.053	567.462	559.903	601.753
1.635	651.666	661.926	624.429	566.511	560.334	601.274
1.640	650.795	661.772	625.355	567.422	559.339	601.797
1.645	652.252	661.544	625.348	567.317	559.549	600.645
1.650	651.342	661.500	624.113	567.253	559.808	601.147
1.655	650.861	663.091	625.078	568.230	560.571	601.197
1.660	651.496	661.690	626.341	568.098	559.637	601.080
1.665	651.946	661.186	625.992	567.435	558.625	600.780
1.670	650.651	662.288	625.215	567.247	559.132	600.832
1.675	652.679	662.173	625.398	567.266	559.012	601.134
1.680	652.082	662.205	625.053	566.740	559.434	600.578
1.685	651.024	661.580	624.831	567.673	560.576	602.519
1.690	651.684	662.780	626.054	566.655	559.772	601.966
1.695	652.109	662.325	626.072	567.081	559.347	601.755
1.700	653.067	662.001	625.067	566.985	560.007	601.567
1.705	651.199	662.380	624.986	566.551	559.900	601.196
1.710	651.785	662.774	626.213	567.680	559.419	601.005
1.715	652.059	663.082	626.089	568.085	560.098	600.249
1.720	652.286	662.975	625.384	566.688	559.988	601.662
1.725	652.312	662.753	625.349	568.162	559.923	600.459
1.730	652.416	662.954	624.787	568.754	559.554	600.800
1.735	652.079	662.542	625.739	568.112	559.817	600.530
1.740	652.426	662.564	624.603	568.438	560.351	601.564
1.745	653.335	662.662	625.256	567.959	559.228	599.975
1.750	652.930	661.995	624.820	567.482	559.400	599.613
1.755	652.106	662.652	624.596	568.142	560.729	600.555
1.760	652.007	663.534	625.559	568.663	559.458	600.322
1.765	652.174	663.554	624.563	568.643	560.179	599.280
1.770	652.786	663.603	624.531	568.047	560.206	598.754
1.775	652.524	663.615	625.332	568.394	559.929	599.714
1.780	652.159	663.591	624.838	568.608	559.767	599.656
1.785	652.015	663.456	625.220	569.236	559.551	600.805
1.790	652.226	663.793	624.648	568.247	560.383	599.845
1.795	652.744	663.201	624.299	568.794	559.666	599.854
1.800	652.817	663.289	624.431	568.229	560.419	599.719
1.805	652.745	663.432	624.801	567.847	560.524	600.043
1.810	652.197	663.566	625.399	569.202	559.874	599.048
1.815	652.778	664.006	624.992	569.706	559.603	600.081
1.820	652.887	663.887	625.754	569.269	559.939	599.681
1.825	652.799	663.926	625.715	569.904	559.819	599.457
1.830	652.112	663.086	624.839	569.805	560.056	600.164
1.835	652.227	664.122	626.061	569.314	560.843	599.889
1.840	652.519	664.267	625.239	569.171	561.091	599.310
1.845	651.950	665.338	624.986	569.352	560.640	600.208
1.850	652.705	663.731	624.669	569.929	560.061	600.150
1.855	652.346	665.342	625.159	569.552	559.951	598.781
1.860	653.215	665.051	624.650	569.342	560.256	599.708
1.865	651.834	664.714	624.315	569.675	559.998	598.621
1.870	653.201	665.086	625.079	569.617	559.837	599.032
1.875	653.243	665.542	625.008	569.168	559.592	599.422
1.880	652.043	665.277	625.187	569.378	560.507	600.183
1.885	652.926	665.277	624.178	569.720	560.790	598.349
1.890	651.722	665.256	624.192	569.193	559.210	598.407
1.895	652.175	665.430	624.953	569.869	560.035	599.303
1.900	652.316	665.900	624.373	569.886	560.473	598.641
1.905	652.288	663.659	624.505	569.846	560.185	599.052
1.910	653.284	665.766	625.362	571.028	560.470	597.782
1.915	652.769	665.232	623.978	570.519	559.298	599.253
1.920	651.665	664.441	625.067	569.831	560.239	599.666
1.925	652.991	665.019	624.609	570.188	560.183	599.586
1.930	652.749	665.141	624.630	570.481	559.686	598.321
1.935	652.056	665.267	624.491	571.133	560.511	599.289
1.940	652.702	665.088	624.172	570.382	560.263	599.517
1.945	653.086	665.108	623.936	571.223	559.887	598.678
1.950	653.747	665.253	624.540	571.017	560.754	600.155
1.955	653.348	665.704	624.779	571.701	559.503	599.025
1.960	653.703	665.383	624.070	571.029	559.677	598.503
1.965	653.680	665.222	624.608	571.548	560.911	599.065
1.970	653.343	664.571	624.549	572.451	560.391	600.101
1.975	653.048	665.268	623.986	572.034	560.553	599.418
1.980	652.782	666.092	624.132	571.215	559.666	598.373
1.985	652.673	665.583	624.715	572.082	559.838	599.477
1.990	652.074	665.675	625.001	570.876	559.958	598.866
1.995	652.532	664.678	624.885	572.420	560.159	599.492
2.000	653.243	665.919	623.871	571.627	559.768	598.127
2.005	653.336	665.438	623.676	572.468	560.359	599.994
2.010	652.086	664.653	623.193	572.433	561.011	598.913
2.015	652.837	665.440	623.462	572.592	560.386	598.806
2.020	652.420	665.445	624.836	571.209	560.783	598.781
2.025	652.008	665.619	623.696	572.597	560.976	598.847
2.030	651.855	664.781	623.124	573.504	559.868	599.236
2.035	652.478	665.648	624.340	572.113	560.041	599.235
2.040	653.375	664.840	623.695	572.323	560.454	599.249
2.045	652.136	665.107	624.837	572.980	560.316	598.848
2.050	653.366	665.589	623.746	572.769	560.367	599.570
2.055	653.377	665.083	623.948	572.492	560.611	599.420
2.060	651.524	664.871	624.428	573.276	559.604	599.504
2.065	652.010	665.075	624.142	573.231	560.337	599.871
2.070	653.404	665.231	624.092	572.212	560.629	600.097
2.075	652.477	666.714	624.279	573.568	560.870	599.621
2.080	652.408	666.108	623.735	573.723	559.912	599.969
2.085	653.060	665.423	624.063	572.917	560.075	599.339
2.090	653.359	666.278	623.305	574.097	560.460	600.457
2.095	652.563	665.163	623.607	573.890	559.320	600.389
2.100	653.513	665.820	624.099	573.594	559.670	599.115
2.105	651.845	665.484	623.930	572.675	559.657	600.482
2.110	652.942	665.962	624.036	574.267	558.283	599.753
2.115	652.096	665.415	624.246	573.017	559.740	600.275
2.120	652.892	665.743	623.125	574.009	558.275	600.649
2.125	653.197	665.843	622.865	572.682	559.750	600.077
2.130	652.658	664.018	624.749	574.468	558.680	601.055
2.135	652.887	664.596	623.854	574.614	559.504	599.674
2.140	652.963	665.547	623.912	573.918	559.160	599.982
2.145	653.506	665.780	623.131	573.844	559.315	600.690
2.150	652.789	665.761	623.576	573.747	559.133	599.704
2.155	653.505	665.798	623.191	574.447	559.821	600.340
2.160	652.882	664.416	624.201	574.968	559.219	600.248
2.165	652.878	665.260	623.713	573.994	559.272	600.052
2.170	653.623	665.218	622.611	573.512	558.990	601.146
2.175	653.124	665.537	624.127	574.664	558.326	600.513
2.180	652.537	665.818	623.226	574.919	559.260	599.522
2.185	652.934	666.450	623.706	574.212	557.806	600.208
2.190	653.592	666.333	624.039	575.257	559.624	600.871
2.195	652.100	665.050	624.307	574.359	559.163	600.700
2.200	652.727	666.982	624.341	574.138	559.270	600.642
2.205	652.373	666.839	623.581	574.774	559.991	600.122
2.210	652.170	665.964	624.459	575.664	558.398	601.760
2.215	652.146	665.840	622.916	575.208	559.608	601.162
2.220	651.206	665.614	624.402	575.670	559.722	601.561
2.225	652.531	665.641	623.165	575.061	558.939	600.999
2.230	652.323	665.991	624.547	574.930	557.783	602.098
2.235	651.662	665.142	624.449	576.183	557.700	600.317
2.240	651.277	665.104	624.577	575.100	558.409	601.877
2.245	651.531	665.960	623.768	575.602	557.316	601.915
2.250	652.247	664.572	623.963	576.430	557.668	601.616
2.255	651.652	665.598	623.847	575.241	557.287	601.116
2.260	651.591	665.812	624.535	575.124	557.197	601.884
2.265	651.268	665.440	623.956	575.893	558.250	600.954
2.270	651.316	664.571	623.936	575.865	558.081	600.657
2.275	651.128	665.181	625.094	575.720	557.593	602.521
2.280	651.308	664.866	623.671	575.073	558.591	601.343
2.285	651.097	665.418	622.761	575.975	558.536	601.611
2.290	652.195	664.884	623.341	575.596	558.740	601.355
2.295	652.330	664.712	623.428	576.509	558.483	601.330
2.300	652.144	665.213	623.258	577.292	558.148	600.877
2.305	652.117	663.325	623.538	575.488	558.758	601.649
2.310	652.017	665.141	623.833	575.085	558.193	602.067
2.315	651.457	665.906	623.709	576.263	558.907	601.674
2.320	651.099	664.543	623.349	575.981	557.261	601.687
2.325	651.307	664.808	623.875	574.554	557.789	601.193
2.330	651.000	665.794	622.674	576.004	558.380	600.510
2.335	650.632	665.407	622.433	577.407	558.002	601.889
2.340	651.227	666.007	623.111	576.490	558.453	601.820
2.345	650.569	665.834	623.864	577.412	557.947	601.728
2.350	651.144	665.153	622.904	576.136	558.092	602.611
2.355	651.147	665.155	623.282	575.908	558.068	602.471
2.360	650.431	665.518	624.438	577.597	557.184	603.812
2.365	650.801	664.972	623.662	576.112	557.105	603.057
2.370	651.082	665.709	622.741	575.686	557.690	601.931
2.375	650.372	666.237	623.927	576.822	557.569	602.153
2.380	651.363	666.019	622.593	576.306	557.912	601.952
2.385	649.760	665.888	622.747	576.962	557.272	602.409
2.390	650.724	666.650	622.624	576.068	557.789	602.090
2.395	650.900	665.472	622.483	577.549	558.412	601.466
2.400	650.421	665.625	623.206	576.241	557.154	602.533
2.405	650.169	665.562	622.513	575.652	557.655	602.853
2.410	650.638	665.146	622.078	576.624	556.584	602.211
2.415	650.630	666.347	621.907	575.766	557.701	602.957
2.420	650.077	665.614	622.481	576.870	556.319	602.150
2.425	650.014	666.110	622.657	576.824	555.946	603.799
2.430	650.987	665.914	623.229	576.920	556.678	603.187
2.435	650.430	665.760	622.000	578.076	556.928	603.895
2.440	650.139	666.489	622.006	576.191	556.855	602.757
2.445	650.679	666.669	621.263	577.101	556.108	602.849
2.450	650.520	666.165	621.950	577.161	556.259	603.824
2.455	649.608	665.927	622.337	576.194	556.596	603.394
2.460	649.032	665.481	621.680	577.596	557.011	602.657
2.465	648.814	665.337	622.056	576.999	556.547	602.983
2.470	650.574	665.503	622.311	576.482	556.020	603.549
2.475	650.015	664.828	622.096	576.472	556.388	603.880
2.480	650.478	666.143	621.435	577.248	557.337	603.856
